City,AQI,IDX,IAQI,Dominant Pollutant,Date
Jonesboro,24,7629,1.0,pm25,2020-08-13T17:00:00-06:00
Dearborn,25,5324,6.0,pm25,2020-08-13T17:00:00-06:00
Utica,15,5101,0.6,pm25,2020-08-13T15:00:00-04:00
Monroe,16,6517,2.0,o3,2020-08-13T15:00:00-06:00
Baltimore,13,7418,1.0,pm25,2020-08-13T17:00:00-05:00
Springfield,34,8200,3.2,o3,2020-08-13T16:00:00-06:00
Lynn,34,3571,1.8,o3,2020-08-13T17:00:00-04:00
Woodbury,30,7348,6.1,pm25,2020-08-13T16:00:00-06:00
Gainesville,21,6456,1.0,pm25,2020-08-13T17:00:00-06:00
West Sacramento,0,304,0.2,o3,2020-08-13T13:00:00-07:00
Sammamish,33,9284,1.6,pm25,2020-08-13T14:00:00-07:00
Fayetteville,25,7441,0.5,pm25,2020-08-13T17:00:00-05:00
San Rafael,26,3898,2.6,o3,2020-08-13T14:00:00-07:00
Tacoma,46,9511,5.5,pm25,2020-08-13T14:00:00-07:00
Middletown,-,7466,2.5,,2020-08-13T17:00:00-05:00
Burlington,54,4,1.5,so2,2020-08-13T17:00:00-05:00
Twin Falls,25,5321,5.1,pm25,2020-08-13T15:00:00-08:00
St. Joseph,32,7359,4.6,pm25,2020-08-13T16:00:00-06:00
Houston,61,178,2.5,pm25,2020-08-13T14:00:00-06:00
Santee,60,9608,7.0,o3,2020-08-13T14:00:00-07:00
Bellevue,33,9284,1.6,pm25,2020-08-13T14:00:00-07:00
Pembroke Pines,17,9627,3.0,pm25,2020-08-13T17:00:00-06:00
Springdale,39,7381,0.8,o3,2020-08-13T16:00:00-06:00
Oxnard,34,264,2.0,pm10,2020-08-13T14:00:00-07:00
Odessa,13,11719,0.5,pm25,2020-08-14T03:00:00+03:00
Brockton,30,3568,0.5,o3,2020-08-13T17:00:00-04:00
Bayonne,28,5882,0.2,pm25,2020-08-13T16:00:00-04:00
Paramount,129,244,3.7,pm25,2020-07-22T13:00:00-07:00
Moline,43,9516,3.0,o3,2020-08-13T16:00:00-06:00
Meridian,37,9614,0.2,o3,2020-08-13T15:00:00-08:00
Cleveland,34,7462,2.0,o3,2020-08-13T17:00:00-05:00
Jersey City,58,3309,0.2,pm25,2020-08-13T16:00:00-04:00
St. Paul,30,7348,6.1,pm25,2020-08-13T16:00:00-06:00
Freeport,37,63,0.8,pm25,2020-08-13T16:00:00-04:00
Iowa City,39,6920,1.1,pm25,2020-08-10T10:00:00-06:00
Apple Valley,55,7347,1.5,pm25,2020-08-13T16:00:00-06:00
Great Falls,18,7527,4.6,pm25,2020-08-13T15:00:00-07:00
Hampton,11,5345,3.0,o3,2020-08-13T17:00:00-04:00
Georgetown,61,5778,1.5,,2020-08-14T06:00:00+08:00
Orem,46,12863,5.0,o3,2020-08-13T15:00:00-06:00
Plymouth,52,3202,1.5,pm25,2020-08-13T22:00:00+01:00
South Bend,41,7510,3.0,o3,2020-08-13T17:00:00-05:00
Edmond,60,7584,3.0,pm25,2020-08-13T16:00:00-06:00
Des Moines,38,6924,1.0,pm25,2020-08-13T17:00:00-06:00
